,score,metrics,experiment
0,0.850999916918795,AUROC,0
1,0.997843919605462,Accuracy,0
2,0.998908405279349,Recall,0
3,0.9989331877837596,Precision,0
4,0.9989207963778453,F1 score,0
5,0.9998210144395836,AUPR,0
0,0.8489921211323967,AUROC,1
1,0.9948700156129959,Accuracy,1
2,0.9959313287684827,Recall,1
3,0.9989300022395302,Precision,1
4,0.9974284117025902,F1 score,1
5,0.9998209790800174,AUPR,1
0,0.9422649090376196,AUROC,2
1,0.9945478426804788,Accuracy,2
2,0.9956088121464721,Recall,2
3,0.9989296559964156,Precision,2
4,0.9972664695211351,F1 score,2
5,0.9999353136763925,AUPR,2
0,0.8923697413635934,AUROC,3
1,0.9938291492156328,Accuracy,3
2,0.9948893519896794,Recall,3
3,0.9989288827998506,Precision,3
4,0.9969050252942712,F1 score,3
5,0.9998740669807139,AUPR,3
0,0.6510220142115017,AUROC,4
1,0.9969765309409928,Accuracy,4
2,0.998040091297013,Recall,4
3,0.9989322606277314,Precision,4
4,0.9984859766691487,F1 score,4
5,0.9995050489183444,AUPR,4
